"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Performance dashboard: Cutting-edge business intelligence and data visualization","S. M. Kumar; M. Belwal","Department of Computer Science &amp; Engineering, Amrita School of Engineering Bengaluru, Amrita Vishwa Vidyapeetham, Amrita University, India; Department of Computer Science &amp; Engineering, Amrita School of Engineering Bengaluru, Amrita Vishwa Vidyapeetham, Amrita University, India","2017 International Conference On Smart Technologies For Smart Nation (SmartTechCon)","","2017","","","1201","1207","Executive decisions are the core components affecting the growth of the organization. While one right decision can make the business to reach the sky, one wrong decision can bring down the business. With the increasing competition of IT industries, the investments, business directives and the business data are increasing exponentially. Hence, the business owner should be extra cautious and must keep all the factors in mind while decision making. Thus, demanding a great requirement of a tool which measures and monitors the growth of the business and to evidence that the business is heading towards the profitable direction. Even though there are few existing methods to measure the growth of the company, these are limited to provide basic information or have restrictions in analyzing the behavior of the business. Therefore, fail to provide the complete assurance to business owners in decision making. This work provides an efficient Nobel solution to address these problems by focusing on developing a Performance Dashboard. The proposed technique involves an integration of business intelligence technologies, data mining and data visualization technologies creating a perfect solution to analyze the business trends, business growth, the amount of profit, employee performance, customer satisfaction, areas of improvements in business and much more. This performance dashboard showcases the information by understating the business behavior right from the organization start period. It acts as an information management tool that is used to track the metrics, Key Performance Indicators (KPIs) and additional key factors applicable to the business or specific process. Using data visualization techniques, dashboard simplifies the complex data sets to deliver users with a glancing awareness of present performance and to keep track on the department's capability to accomplish service level targets.","","978-1-5386-0569-1978-1-5386-0568-4978-1-5386-0570","10.1109/SmartTechCon.2017.8358558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8358558","Performance Dashboard;KPI;Data Visualization;Business analytics;Business Intelligence;REST web services;Single Sign On;SAML;Pentaho;Bootstrap;REST frame work;MVC;RBAC","Data visualization;Data mining;Measurement;Business intelligence;Companies","business data processing;competitive intelligence;customer satisfaction;data mining;data visualisation;decision making;information management;personnel","complex data sets;data visualization techniques;Key Performance Indicators;information management tool;business behavior;employee performance;business growth;business trends;data visualization technologies;data mining;business intelligence technologies;profitable direction;decision making;business owner;business data;business directives;wrong decision;executive decisions;performance dashboard","","","","11","","","","","","IEEE","IEEE Conferences"
"Physiological and behavioral evaluation of mental load in shared attention tasks","M. Morel; C. Petit; M. P. Bruyas; A. Chapon; A. Dittmar; G. Delhomme; C. Collet","Renault, Ergonomics and Human/Machine interactions Department, 1, Avenue du Golf, F-78288 Guyancourt, France. mmorel@onecert.fr; NA; NA; NA; NA; NA; NA","2005 IEEE Engineering in Medicine and Biology 27th Annual Conference","","2005","","","5526","5527","Hand-held phone use is prohibited by French law to prevent any motor interference with driving. If freehand's kit remains tolerated, its true impact (cognitive interference) is not already clearly determined. This experiment was aimed to study the effect of three communication tasks on driver's behavior: listening to the radio, discussing with a passenger and holding a hands-free phone conversation. Performance was assessed through reaction time (RT) to visual stimuli when driving on a private closed circuit. Drivers were requested to leave their foot from the accelerator pedal when orange lights, placed on the dashboard, switched on. This stimulus was triggered while subjects performed both driving and one of the three additional tasks. Skin resistance level (SRL) and instantaneous heart rate (IHR) were continuously recorded as indices of arousal. Rest and driving were taken as reference. Phoning while driving elicited the highest RT. SRL showed 3 levels of arousal, from the lowest to the highest: rest, driving and the dual task condition (driving + communication). Thus, arousal remained constant whatever the additional task although IHR showed that arousal was higher when phoning than when listening to the radio. Thus, managing two tasks simultaneously elicited an increase in subjects' arousal whereas RT increased selectively as a function of the secondary task requirements","1094-687X;1558-4615","0-7803-8741","10.1109/IEMBS.2005.1615735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1615735","","Interference;Driver circuits;Skin;Immune system;Heart rate;Wheels;Foot;Cellular phones;Ergonomics;Humans","biomechanics;cardiology;cognition;skin","physiological evaluation;behavioral evaluation;mental load;shared attention tasks;cognitive interference;hands-free phone conversation;reaction time;visual stimuli;driving;skin resistance level;instantaneous heart rate","","","","9","","","","","","IEEE","IEEE Conferences"
"VNE-Greedy: Virtual Network Embedding Algorithm Based on OpenStack Cloud Computing Platform","S. Karmoshi; A. Hawbani; A. Ghannami; S. Mohammed; M. Zhu","NA; NA; NA; NA; NA","2016 6th International Conference on Digital Home (ICDH)","","2016","","","143","149","A new approach to implementation of the virtual network embedding strategy over OpenStack cloud platform presented. We presented the OpenStack cloud platform and the problems associated with virtual network embedding. Then, conduct OpenStack dashboard customization to generate virtual network requests to process these requests. We modified OpenStack Compute module to provide bandwidth limitation for the virtual network requests, as well as modification of the data structure used between the OpenStack Horizon and Nova modules, implementing virtual network embedded algorithm (VNE-Greedy) on the top of OpenStack cloud platform.","","978-1-5090-4400-9978-1-5090-4401","10.1109/ICDH.2016.039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8039098","cloud computing;OpenStack;VNE;VM;GUI;resource allocation","Substrates;Cloud computing;Resource management;Bandwidth;Measurement;Data structures;Algorithm design and analysis","cloud computing;resource allocation;virtualisation","virtual network embedding algorithm;OpenStack cloud computing platform;VNE-Greedy;OpenStack dashboard customization;data structure modification;OpenStack Horizon;Nova modules;resource allocation","","1","","10","","","","","","IEEE","IEEE Conferences"
"RBioCloud: A Light-Weight Framework for Bioconductor and R-based Jobs on the Cloud","B. Varghese; I. Patel; A. Barker","School of Computer Science, University of St Andrews, Fife, United Kingdom; IBM Canada Ltd, Markham, ON L3R 9Z7, Canada; School of Computer Science, University of St Andrews, Fife, United Kingdom","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","2015","12","4","871","878","Large-scale ad hoc analytics of genomic data is popular using the R-programming language supported by over 700 software packages provided by Bioconductor. More recently, analytical jobs are benefitting from on-demand computing and storage, their scalability and their low maintenance cost, all of which are offered by the cloud. While biologists and bioinformaticists can take an analytical job and execute it on their personal workstations, it remains challenging to seamlessly execute the job on the cloud infrastructure without extensive knowledge of the cloud dashboard. How analytical jobs can not only with minimum effort be executed on the cloud, but also how both the resources and data required by the job can be managed is explored in this paper. An open-source light-weight framework for executing R-scripts using Bioconductor packages, referred to as `RBioCloud', is designed and developed. RBioCloud offers a set of simple command-line tools for managing the cloud resources, the data and the execution of the job. Three biological test cases validate the feasibility of RBioCloud.","1545-5963;1557-9964;2374-0043","","10.1109/TCBB.2014.2361327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915694","Cloud computing;R programming;Bioconductor;Amazon Web Services;Data analytics;Cloud computing;R programming;Bioconductor;Amazon web services;data analytics","Bioinformatics;Genomics;Computational biology;Probes;Workstations","bioinformatics;cloud computing;genomics;public domain software;software packages","RBioCloud;R-based jobs;large-scale analytics;hoc analytics;genomic data;R-programming language;software packages;on-demand computing;on-demand storage;personal workstations;cloud dashboard;open-source light-weight framework;Bioconductor packages;command-line tools;cloud resources;biological test","Cloud Computing;Computational Biology;Gene Expression Profiling;Humans;Internet;Programming Languages;Software","1","","39","","","","","","IEEE","IEEE Journals & Magazines"
"A Mobile Personal Residential Electricity Dashboard","M. Apperley; J. Kalyan","NA; NA","2015 19th International Conference on Information Visualisation","","2015","","","195","199","The growing use of smart electricity meters means that real-time information relating to residential electricity consumption is readily available. The globally recognized need to manage and improve the efficiency of our use of electricity, and the need in most jurisdictions to increase the integration and utilization of non-dispatchable renewable energy sources, provides a strong motivation for individuals to be aware of their electricity consumption in real-time, and to manage that consumption according to need (imperative, background or discretionary activities) and availability of energy. This paper describes the development and preliminary evaluation of a dashboard-like display, implemented on a mobile platform (phone or tablet), which provides both an instant overview and awareness of consumption and availability, and facility to drill down to determine detail, and potentially to control individual appliances.","1550-6037;2375-0138","978-1-4673-7568-9978-1-4673-7567","10.1109/iV.2015.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272601","mobile dashboard display;residential electricity monitoring","Real-time systems;Visualization;Home appliances;Mobile communication;Prototypes;Monitoring;Energy consumption","mobile computing;power consumption;public utilities;smart meters","mobile personal residential electricity dashboard;smart electricity meters;residential electricity consumption;nondispatchable renewable energy sources;dashboard-like display","","","","26","","","","","","IEEE","IEEE Conferences"
"Big data system for information aggregation and model comparison for precison medicine","Z. Zhu; W. Xu; W. He","Beiwei Inc.; Beiwei Inc.; Beiwei Inc.","2017 IEEE International Conference on Big Data (Big Data)","","2017","","","4878","4880","Precision and personalized medicine have gained a lot of attention in the recent years. The number of prescription drugs which are affected by genetic compositions of the patients has significantly increased over the years. We propose a big data system for aggregating and analyzing dispersed public information on prescription drugs whose useful are sensitive to patient genetic types. The proposed system includes two main features. An intelligent information aggregator that can identify and organize relevant information from several data sources into an integrated dashboard. The second feature enables users to collect relevant public data and apply and compare machine learning models to predict optimal dosage based on historical data. In this poster, we present a prototype implementation and illustrate its functions and benefits with a use case of Warfarin dosages.","","978-1-5386-2715-0978-1-5386-2714-3978-1-5386-2716","10.1109/BigData.2017.8258574","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258574","","Drugs;Predictive models;Data models;Genetics;Big Data;Biological system modeling;Medical diagnostic imaging","Big Data;drugs;genetics;learning (artificial intelligence);medical computing","prescription drugs;patient genetic types;intelligent information aggregator;data sources;machine learning models;historical data;big data system;model comparison;precison medicine;personalized medicine;dispersed public information;Warfarin dosages;optimal dosage prediction;integrated dashboard;public data;dispersed public information analysis;dispersed public information aggregation;patient genetic compositions","","","","8","","","","","","IEEE","IEEE Conferences"
"Awareness 2.0: staying aware of projects, developers and tasks using dashboards and feeds","C. Treude; M. Storey","University of Victoria; University of Victoria","2010 ACM/IEEE 32nd International Conference on Software Engineering","","2010","1","","365","374","Software development teams need to maintain awareness of various different aspects ranging from overall project status and process bottlenecks to current tasks and incoming artifacts. Currently, there is a lack of theoretical foundations to guide tool selection and tool design to best support awareness tasks. In this paper, we explore how the combination of highly configurable project, team and contributor dashboards along with individual event feeds is used to accomplish extensive awareness. Our results stem from an empirical study of several large development teams, with a detailed study of a team of 150 developers and additional data from another four project teams. We present how dashboards become pivotal to task prioritization in critical project phases and how they stir competition while feeds are used for short term planning. Our findings indicate that the distinction between high-level and low-level awareness is often unclear and that integrated tooling could improve development practices.","1558-1225;0270-5257","978-1-60558-719","10.1145/1806799.1806854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062104","Web 2.0;awareness;collaboration;dashboards;feeds","Feeds;Programming;Software;Interviews;Collaborative software;Industries","software engineering","software development;dashboards;project status;process bottlenecks;event feeds;project teams;task prioritization;critical project phases","","19","","25","","","","","","IEEE","IEEE Conferences"
"City Recorder: Virtual City Tour Using Geo-referenced Videos","G. Zhao; M. Zhang; T. Li; S. Chen; N. Rishe","NA; NA; NA; NA; NA","2015 IEEE International Conference on Information Reuse and Integration","","2015","","","281","286","Dashboard cameras are increasingly used these days worldwide to record driving videos. These devices generate a vast amount of geo-referenced videos. However, most of this valuable data is lost due to loop recording. We present the City Recorder, a platform to provide street level video tours based on user-uploaded driving videos. We demonstrate here how to get a smooth route previewing experience using the best available videos. We show several use cases in a real urban environment.","","978-1-4673-6656","10.1109/IRI.2015.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300989","Digital City;Route Preview;Geo-Referenced Video;Online Map;Dashboard Camera","Videos;Cities and towns;Roads;Cameras;Meteorology;Databases;Servers","travel industry;video signal processing","City Recorder platform;virtual city tour;geo-referenced videos;dashboard cameras;street level video tours;user-uploaded driving videos;route previewing experience","","1","","15","","","","","","IEEE","IEEE Conferences"
"Horizon, a Web-Based User Interface for Managing Services in OpenStack: An Introspection","A. Lingayat; A. Singh; V. Naik; R. R. Badre; A. K. Gupta","Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; HPC Infrastructure and Ecosystems, C-DAC, Innovation Park, Pune, India","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","","2018","","","1","6","Cloud computing, an emerging technology in today's world is making a significant impact on sharing resources. An open-source platform OpenStack used for provisioning cloud environment is gaining tremendous popularity. OpenStack introduces independent projects developed for providing specific services in the cloud. These services interact with each other to act as one cloud environment. The services are managed using commands and require knowledge of their usage. To make the management of the services more convenient OpenStack has designed and developed a user interface based project called Horizon. It is a web-based interface which interacts with other services to make them configurable and manageable through a dashboard. In this paper, we will discuss the present scenario of the services interacting with Horizon.","","978-1-5386-4430-0978-1-5386-4429-4978-1-5386-4431","10.1109/ICCCNT.2018.8493661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493661","Cloud computing;OpenStack;Horizon;User interface","Cloud computing;Containers;Tools;Standards;Software;Heating systems;User interfaces","cloud computing;public domain software;user interfaces","Horizon;web-based user interface;cloud computing;open-source platform OpenStack;cloud environment","","","","13","","","","","","IEEE","IEEE Conferences"
"Performance scorecards for electric power distribution","I. Petkovic; D. Petkovic; A. Petkovics","Subotica Tech, Serbia and The Faculty of Economics, Subotica, Serbia; The Faculty of Economics, Subotica, Serbia; Budapest University of Technology and Economics (BUTE-BME), Budapest, Hungary","2009 7th International Symposium on Intelligent Systems and Informatics","","2009","","","311","315","This work presents the performance scorecards which have lately been used more and more as a means of visual representation of business indicators of companies. The terminology in connection of this latest trend in reporting (presenting values) key indicators of performance of businesses is not unequivocal, there are various terms used for the same subject: Scorecards, Enterprise Dashboards, Balanced Scorecards, Performance Dashboard, KPI Summary, etc. The idea of performance scorecards is based on the method of Balance Scorecards [6] but the number of indicators and specific indicators is not limited to those defined in the work of Kaplan and Norton. The representation of the entire commerce, i.e. keeping track of the planned performances is easy as the graphical reports in the form of scorecards is extremely expressive an easily understandable for business men. Moreover, they can suggest the necessary activities depending on the value of the indicator, i.e. the deviation from the planned values. Based on this the Scorecards have become necessary in performance control of the entire enterprise, some its organizational units or specific important functions. This work also includes the possible contents of the hierarchical scorecard for performance control of electrical energy distribution.","1949-047X;1949-0488","978-1-4244-5348-1978-1-4244-5349","10.1109/SISY.2009.5291143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5291143","","Time series analysis;Power generation economics;Economic indicators;Monitoring;Business communication;Communication system control;Control systems;Application software;Communication system operations and management;Financial management","electricity supply industry;power distribution economics","electric power distribution;performance scorecards;visual representation;enterprise dashboards;balanced scorecards;performance dashboard;KPI summary;key indicators;performance control","","1","","15","","","","","","IEEE","IEEE Conferences"
